(n, d, k);[Gematria of ELS];ELS Search Term;Found in WordNumber In Text;WordCoordinatesDWTK;Found in Word In Text;LetterPositionIndex In Word;LetterCoordinatesD5K of First Letter in ELS;Found In Verse
(103309, 1, 5);[5, 40, 300, 10, 8];המשיח;26202;(8, 16, 6, 9, 26202);יהוה;4;(8, 16, 6, 34, 103309);ויהי בבואם וירא את אליאב ויאמר אך נגד יהוה משיחו
(491270, 3, 5);[5, 40, 300, 10, 8];המשיח;125704;(14, 45, 13, 10, 125704);האיפה;5;(14, 45, 13, 46, 491270);זאת התרומה אשר תרימו ששית האיפה מחמר החטים וששיתם האיפה מחמר השערים
(535590, 7, 5);[5, 40, 300, 10, 8];המשיח;136912;(24, 1, 1, 6, 136912);הששי;1;(24, 1, 1, 23, 535590);בשנת שתים לדריוש המלך בחדש הששי ביום אחד לחדש היה דבר יהוה ביד חגי הנביא אל זרבבל בן שאלתיאל פחת יהודה ואל יהושע בן יהוצדק הכהן הגדול לאמר
(323415, 9, 5);[5, 40, 300, 10, 8];המשיח;83025;(12, 51, 17, 2, 83025);התעוררי;1;(12, 51, 17, 8, 323415);התעוררי התעוררי קומי ירושלם אשר שתית מיד יהוה את כוס חמתו את קבעת כוס התרעלה שתית מצית
(77581, 10, 5);[5, 40, 300, 10, 8];המשיח;19646;(7, 21, 6, 9, 19646);היום;1;(7, 21, 6, 36, 77581);וינחמו בני ישראל אל בנימן אחיו ויאמרו נגדע היום שבט אחד מישראל
(94213, 10, 5);[5, 40, 300, 10, 8];המשיח;23860;(8, 11, 11, 1, 23860);ויהי;3;(8, 11, 11, 3, 94213);ויהי ממחרת וישם שאול את העם שלשה ראשים ויבאו בתוך המחנה באשמרת הבקר ויכו את עמון עד חם היום ויהי הנשארים ויפצו ולא נשארו בם שנים יחד
(255883, 10, 5);[5, 40, 300, 10, 8];המשיח;65851;(11, 18, 10, 14, 65851);נלכדה;5;(11, 18, 10, 56, 255883);וילכדה מקצה שלש שנים בשנת שש לחזקיה היא שנת תשע להושע מלך ישראל נלכדה שמרון
(91413, 18, 5);[5, 40, 300, 10, 8];המשיח;23156;(8, 9, 22, 14, 23156);והמה;2;(8, 9, 22, 57, 91413);ויקח שמואל את שאול ואת נערו ויביאם לשכתה ויתן להם מקום בראש הקרואים והמה כשלשים איש
(534193, 20, 5);[5, 40, 300, 10, 8];המשיח;136553;(23, 2, 10, 10, 136553);יהוה;2;(23, 2, 10, 32, 534193);זאת להם תחת גאונם כי חרפו ויגדלו על עם יהוה צבאות
(217603, 25, 5);[5, 40, 300, 10, 8];המשיח;56003;(10, 20, 39, 1, 56003);ויהי;3;(10, 20, 39, 3, 217603);ויהי המלך עבר והוא צעק אל המלך ויאמר עבדך יצא בקרב המלחמה והנה איש סר ויבא אלי איש ויאמר שמר את האיש הזה אם הפקד יפקד והיתה נפשך תחת נפשו או ככר כסף תשקול
(430645, 26, 5);[5, 40, 300, 10, 8];המשיח;110461;(14, 7, 26, 15, 110461);ועצה;4;(14, 7, 26, 59, 430645);הוה על הוה תבוא ושמעה אל שמועה תהיה ובקשו חזון מנביא ותורה תאבד מכהן ועצה מזקנים
(477185, 28, 5);[5, 40, 300, 10, 8];המשיח;122198;(14, 37, 18, 7, 122198);הלוא;1;(14, 37, 18, 25, 477185);וכאשר יאמרו אליך בני עמך לאמר הלוא תגיד לנו מה אלה לך
(223753, 32, 5);[5, 40, 300, 10, 8];המשיח;57597;(11, 1, 12, 12, 57597);השמים;1;(11, 1, 12, 40, 223753);ויען אליה וידבר אליהם אם איש האלהים אני תרד אש מן השמים ותאכל אתך ואת חמשיך ותרד אש אלהים מן השמים ותאכל אתו ואת חמשיו
(326645, 32, 5);[5, 40, 300, 10, 8];המשיח;83846;(12, 55, 11, 2, 83846);יהיה;2;(12, 55, 11, 4, 326645);כן יהיה דברי אשר יצא מפי לא ישוב אלי ריקם כי אם עשה את אשר חפצתי והצליח אשר שלחתיו
(467912, 34, 5);[5, 40, 300, 10, 8];המשיח;119868;(14, 32, 11, 5, 119868);יהוה;2;(14, 32, 11, 13, 467912);כי כה אמר אדני יהוה חרב מלך בבל תבואך
(477366, 34, 5);[5, 40, 300, 10, 8];המשיח;122247;(14, 37, 21, 7, 122247);הנה;3;(14, 37, 21, 25, 477366);ודבר אליהם כה אמר אדני יהוה הנה אני לקח את בני ישראל מבין הגוים אשר הלכו שם וקבצתי אתם מסביב והבאתי אותם אל אדמתם
(58148, 36, 5);[5, 40, 300, 10, 8];המשיח;14745;(7, 9, 54, 4, 14745);הנער;1;(7, 9, 54, 12, 58148);ויקרא מהרה אל הנער נשא כליו ויאמר לו שלף חרבך ומותתני פן יאמרו לי אשה הרגתהו וידקרהו נערו וימת
(43455, 37, 5);[5, 40, 300, 10, 8];המשיח;10979;(7, 3, 3, 5, 10979);הכנעני;1;(7, 3, 3, 18, 43455);חמשת סרני פלשתים וכל הכנעני והצידני והחוי ישב הר הלבנון מהר בעל חרמון עד לבוא חמת
(396923, 38, 5);[5, 40, 300, 10, 8];המשיח;101860;(13, 38, 10, 6, 101860);הכושי;1;(13, 38, 10, 18, 396923);ויצוה המלך את עבד מלך הכושי לאמר קח בידך מזה שלשים אנשים והעלית את ירמיהו הנביא מן הבור בטרם ימות
(327139, 43, 5);[5, 40, 300, 10, 8];המשיח;83975;(12, 56, 6, 3, 83975);הנלוים;1;(12, 56, 6, 9, 327139);ובני הנכר הנלוים על יהוה לשרתו ולאהבה את שם יהוה להיות לו לעבדים כל שמר שבת מחללו ומחזיקים בבריתי
(530520, 43, 5);[5, 40, 300, 10, 8];המשיח;135609;(22, 1, 13, 1, 135609);טהור;2;(22, 1, 13, 2, 530520);טהור עינים מראות רע והביט אל עמל לא תוכל למה תביט בוגדים תחריש בבלע רשע צדיק ממנו
(199797, 45, 5);[5, 40, 300, 10, 8];המשיח;51361;(10, 12, 15, 19, 51361);אחיה;4;(10, 12, 15, 62, 199797);ולא שמע המלך אל העם כי היתה סבה מעם יהוה למען הקים את דברו אשר דבר יהוה ביד אחיה השילני אל ירבעם בן נבט
(164875, 48, 5);[5, 40, 300, 10, 8];המשיח;42325;(9, 20, 12, 16, 42325);המסלה;1;(9, 20, 12, 53, 164875);ועמשא מתגלל בדם בתוך המסלה וירא האיש כי עמד כל העם ויסב את עמשא מן המסלה השדה וישלך עליו בגד כאשר ראה כל הבא עליו ועמד
(127002, 50, 5);[5, 40, 300, 10, 8];המשיח;32406;(8, 29, 6, 8, 32406);יהוה;2;(8, 29, 6, 27, 127002);ויקרא אכיש אל דוד ויאמר אליו חי יהוה כי ישר אתה וטוב בעיני צאתך ובאך אתי במחנה כי לא מצאתי בך רעה מיום באך אלי עד היום הזה ובעיני הסרנים לא טוב אתה
