(n, d, k);[Gematria of ELS];ELS Search Term;Found in WordNumber In Text;WordCoordinatesDWTK;Found in Word In Text;LetterPositionIndex In Word;LetterCoordinatesD5K of First Letter in ELS;Found In Verse
(8601, 1, 5);[5, 40, 300, 10, 8];המשיח;2162;(27, 20, 7, 5, 2162);יהוה;4;(27, 20, 7, 19, 8601);עתה ידעתי כי הושיע יהוה משיחו יענהו משמי קדשו בגברות ישע ימינו
(292081, 7, 5);[5, 40, 300, 10, 8];המשיח;72822;(39, 6, 41, 10, 72822);יהוה;2;(39, 6, 41, 40, 292081);ועתה קומה יהוה אלהים לנוחך אתה וארון עזך כהניך יהוה אלהים ילבשו תשועה וחסידיך ישמחו בטוב
(295869, 12, 5);[5, 40, 300, 10, 8];המשיח;73771;(39, 9, 15, 2, 73771);המלך;1;(39, 9, 15, 5, 295869);ויעש המלך שלמה מאתים צנה זהב שחוט שש מאות זהב שחוט יעלה על הצנה האחת
(71783, 15, 5);[5, 40, 300, 10, 8];המשיח;17838;(27, 135, 6, 5, 17838);עשה;3;(27, 135, 6, 15, 71783);כל אשר חפץ יהוה עשה בשמים ובארץ בימים וכל תהומות
(245998, 19, 5);[5, 40, 300, 10, 8];המשיח;61694;(38, 5, 12, 4, 61694);המשנה;5;(38, 5, 12, 17, 245998);יואל הראש ושפם המשנה ויעני ושפט בבשן
(235141, 24, 5);[5, 40, 300, 10, 8];המשיח;59099;(37, 12, 16, 2, 59099);זכריה;5;(37, 12, 16, 10, 235141);לעדיא  זכריה לגנתון משלם
(235774, 25, 5);[5, 40, 300, 10, 8];המשיח;59233;(37, 12, 30, 1, 59233);ויטהרו;4;(37, 12, 30, 4, 235774);ויטהרו הכהנים והלוים ויטהרו את העם ואת השערים ואת החומה
(236726, 25, 5);[5, 40, 300, 10, 8];המשיח;59438;(37, 12, 45, 6, 59438);והמשררים;2;(37, 12, 45, 30, 236726);וישמרו משמרת אלהיהם ומשמרת הטהרה והמשררים והשערים כמצות דויד שלמה בנו
(34037, 27, 5);[5, 40, 300, 10, 8];המשיח;8519;(27, 68, 29, 1, 8519);צוה;3;(27, 68, 29, 3, 34037);צוה אלהיך עזך עוזה אלהים זו פעלת לנו
(296737, 27, 5);[5, 40, 300, 10, 8];המשיח;73983;(39, 9, 29, 16, 73983);השילוני;1;(39, 9, 29, 66, 296737);ושאר דברי שלמה הראשנים והאחרונים הלא הם כתובים על דברי נתן הנביא ועל נבואת אחיה השילוני ובחזות יעדי  החזה על ירבעם בן נבט
(212917, 42, 5);[5, 40, 300, 10, 8];המשיח;53833;(36, 8, 33, 26, 53833);הלוים;1;(36, 8, 33, 106, 212917);וביום הרביעי נשקל הכסף והזהב והכלים בבית אלהינו על יד מרמות בן אוריה הכהן ועמו אלעזר בן פינחס ועמהם יוזבד בן ישוע ונועדיה בן בנוי הלוים
(321884, 42, 5);[5, 40, 300, 10, 8];המשיח;80149;(39, 28, 14, 10, 80149);הקהל;1;(39, 28, 14, 37, 321884);ויעזב החלוץ את השביה ואת הבזה לפני השרים וכל הקהל
(153597, 48, 5);[5, 40, 300, 10, 8];המשיח;39017;(33, 1, 9, 3, 39017);הוא;1;(33, 1, 9, 7, 153597);מה שהיה הוא שיהיה ומה שנעשה הוא שיעשה ואין כל חדש תחת השמש
(231137, 56, 5);[5, 40, 300, 10, 8];המשיח;58190;(37, 9, 32, 15, 58190);התלאה;5;(37, 9, 32, 63, 231137);ועתה אלהינו האל הגדול הגבור והנורא שומר הברית והחסד אל ימעט לפניך את כל התלאה אשר מצאתנו למלכינו לשרינו ולכהנינו ולנביאנו ולאבתינו ולכל עמך מימי מלכי אשור עד היום הזה
(103890, 60, 5);[5, 40, 300, 10, 8];המשיח;26116;(28, 30, 15, 1, 26116);לעלוקה;6;(28, 30, 15, 6, 103890);לעלוקה שתי בנות הב הב שלוש הנה לא תשבענה ארבע לא אמרו הון
(134967, 62, 5);[5, 40, 300, 10, 8];המשיח;34275;(29, 40, 10, 6, 34275);והדר;2;(29, 40, 10, 19, 134967);עדה נא גאון וגבה והוד והדר תלבש
(54059, 69, 5);[5, 40, 300, 10, 8];המשיח;13481;(27, 103, 6, 3, 13481);יהוה;2;(27, 103, 6, 10, 54059);עשה צדקות יהוה ומשפטים לכל עשוקים
(135955, 72, 5);[5, 40, 300, 10, 8];המשיח;34520;(29, 41, 14, 6, 34520);דאבה;4;(29, 41, 14, 26, 135955);בצוארו ילין עז ולפניו תדוץ דאבה
(287790, 75, 5);[5, 40, 300, 10, 8];המשיח;71738;(39, 4, 13, 11, 71738);האחת;1;(39, 4, 13, 49, 287790);ואת הרמונים ארבע מאות לשתי השבכות שנים טורים רמונים לשבכה האחת לכסות את שתי גלות הכתרות אשר על פני העמודים
(248172, 76, 5);[5, 40, 300, 10, 8];המשיח;62229;(38, 6, 27, 4, 62229);זמה;3;(38, 6, 27, 11, 248172);בן איתן בן זמה בן שמעי
(295039, 76, 5);[5, 40, 300, 10, 8];המשיח;73567;(39, 9, 2, 10, 73567);משלמה;5;(39, 9, 2, 34, 295039);ויגד לה שלמה את כל דבריה ולא נעלם דבר משלמה אשר לא הגיד לה
(251387, 88, 5);[5, 40, 300, 10, 8];המשיח;63002;(38, 7, 31, 5, 63002);הוא;1;(38, 7, 31, 20, 251387);ובני בריעה חבר ומלכיאל הוא אבי ברזות 
(231318, 89, 5);[5, 40, 300, 10, 8];המשיח;58231;(37, 9, 34, 15, 58231);העידת;1;(37, 9, 34, 66, 231318);ואת מלכינו שרינו כהנינו ואבתינו לא עשו תורתך ולא הקשיבו אל מצותיך ולעדותיך אשר העידת בהם
(62026, 91, 5);[5, 40, 300, 10, 8];המשיח;15416;(27, 114, 5, 6, 15416);הירדן;1;(27, 114, 5, 14, 62026);מה לך הים כי תנוס הירדן תסב לאחור
(328148, 96, 5);[5, 40, 300, 10, 8];המשיח;81581;(39, 31, 16, 7, 81581);ולמעלה;6;(39, 31, 16, 33, 328148);מלבד התיחשם לזכרים מבן שלוש שנים ולמעלה לכל הבא לבית יהוה לדבר יום ביומו לעבודתם במשמרותם כמחלקותיהם
(160648, 98, 5);[5, 40, 300, 10, 8];המשיח;40965;(33, 8, 12, 16, 40965);האלהים;1;(33, 8, 12, 49, 160648);אשר חטא עשה רע מאת ומאריך לו כי גם יודע אני אשר יהיה טוב ליראי האלהים אשר ייראו מלפניו
(71766, 100, 5);[5, 40, 300, 10, 8];המשיח;17833;(27, 135, 5, 9, 17833);אלהים;3;(27, 135, 5, 33, 71766);כי אני ידעתי כי גדול יהוה ואדנינו מכל אלהים
(56074, 1, 5);[40, 300, 10, 8, 10];משיחי;13977;(27, 105, 15, 3, 13977);במשיחי;2;(27, 105, 15, 8, 56074);אל תגעו במשיחי ולנביאי אל תרעו
(71357, 1, 5);[40, 300, 10, 8, 10];משיחי;17722;(27, 132, 17, 7, 17722);למשיחי;2;(27, 132, 17, 23, 71357);שם אצמיח קרן לדוד ערכתי נר למשיחי
(120405, 1, 5);[40, 300, 10, 8, 10];משיחי;30436;(29, 21, 4, 2, 30436);לאדם;4;(29, 21, 4, 9, 120405);האנכי לאדם שיחי ואם מדוע לא תקצר רוחי
(152543, 1, 5);[40, 300, 10, 8, 10];משיחי;38750;(32, 4, 20, 3, 38750);משיח;1;(32, 4, 20, 9, 152543);רוח אפינו משיח יהוה נלכד בשחיתותם אשר אמרנו בצלו נחיה בגוים
(264180, 1, 5);[40, 300, 10, 8, 10];משיחי;66046;(38, 16, 22, 3, 66046);במשיחי;2;(38, 16, 22, 8, 264180);אל תגעו במשיחי ובנביאי אל תרעו
(292132, 1, 5);[40, 300, 10, 8, 10];משיחי;72834;(39, 6, 42, 6, 72834);משיחיך;1;(39, 6, 42, 18, 292132);יהוה אלהים אל תשב פני משיחיך זכרה לחסדי דויד עבדך
(151498, 5, 5);[40, 300, 10, 8, 10];משיחי;38488;(32, 3, 60, 3, 38488);נקמתם;5;(32, 3, 60, 12, 151498);ראיתה כל נקמתם כל מחשבתם לי
(46567, 7, 5);[40, 300, 10, 8, 10];משיחי;11605;(27, 88, 8, 3, 11605);חמתך;2;(27, 88, 8, 9, 46567);עלי סמכה חמתך וכל משבריך ענית סלה
(101342, 7, 5);[40, 300, 10, 8, 10];משיחי;25458;(28, 27, 15, 6, 25458);מדונים;1;(28, 27, 15, 21, 101342);דלף טורד ביום סגריר ואשת מדונים  נשתוה
(296302, 10, 5);[40, 300, 10, 8, 10];משיחי;73881;(39, 9, 21, 20, 73881);ותוכיים;7;(39, 9, 21, 90, 296302);כי אניות למלך הלכות תרשיש עם עבדי חורם אחת לשלוש שנים תבואנה אניות תרשיש נשאות זהב וכסף שנהבים וקופים ותוכיים
(85795, 13, 5);[40, 300, 10, 8, 10];משיחי;21354;(28, 9, 7, 8, 21354);מומו;3;(28, 9, 7, 27, 85795);יסר לץ לקח לו קלון ומוכיח לרשע מומו
(171093, 15, 5);[40, 300, 10, 8, 10];משיחי;43667;(34, 6, 6, 5, 43667);המלך;2;(34, 6, 6, 17, 171093);ויבוא המן ויאמר לו המלך מה לעשות באיש אשר המלך חפץ ביקרו ויאמר המן בלבו למי יחפץ המלך לעשות יקר יותר ממני
(173693, 20, 5);[40, 300, 10, 8, 10];משיחי;44315;(34, 8, 14, 7, 44315);ודחופים;7;(34, 8, 14, 39, 173693);הרצים רכבי הרכש האחשתרנים יצאו מבהלים ודחופים בדבר המלך והדת נתנה בשושן הבירה
